total_units,sf_per_unit,year_built,occupancy,in_place_rent,market_rent,noi_per_unit,property_class_encoded,market_cap_rate,median_income,population_millions,unemployment_rate,mortgage_rate,cpi_yoy_inflation,housing_starts,rental_vacancy_rate,treasury_spread,median_rent_census,value_per_unit,market,property_type,source
350,980,2018,0.96,2800,2950,19320,3,4.85,110000,8.3,2.7,6.75,3.2,1420,5.8,0.45,2500,398800,Dallas TX,Multifamily,NCREIF_calibrated
200,850,2003,0.93,1680,1800,11088,2,5.35,68000,8.3,3.8,6.75,3.2,1420,5.8,0.45,1550,207200,Dallas TX,Multifamily,NCREIF_calibrated
130,760,1985,0.89,1350,1500,8910,1,5.90,55000,8.3,4.8,6.75,3.2,1420,5.8,0.45,1280,151000,Dallas TX,Multifamily,NCREIF_calibrated
400,960,2020,0.97,3100,3200,21700,3,4.75,118000,8.3,2.5,6.75,3.2,1420,5.8,0.45,2700,456800,Dallas TX,Multifamily,NCREIF_calibrated
75,700,1972,0.86,1100,1280,6930,1,6.10,50000,8.3,5.5,6.75,3.2,1420,5.8,0.45,1150,113600,Dallas TX,Multifamily,NCREIF_calibrated
250,905,2006,0.94,1900,2020,12540,2,5.30,73000,8.3,3.6,6.75,3.2,1420,5.8,0.45,1700,236600,Dallas TX,Multifamily,NCREIF_calibrated
160,830,2000,0.92,1550,1680,10230,2,5.45,63000,8.3,4.1,6.75,3.2,1420,5.8,0.45,1480,187800,Dallas TX,Multifamily,NCREIF_calibrated
90,740,1980,0.90,1250,1420,8100,1,5.95,53000,8.3,5.0,6.75,3.2,1420,5.8,0.45,1200,136100,Dallas TX,Multifamily,NCREIF_calibrated
300,925,2012,0.95,2200,2350,14850,2,5.15,82000,8.3,3.3,6.75,3.2,1420,5.8,0.45,1950,288300,Dallas TX,Multifamily,NCREIF_calibrated
190,875,2007,0.93,1820,1940,12012,2,5.40,71000,8.3,3.9,6.75,3.2,1420,5.8,0.45,1650,222400,Dallas TX,Multifamily,NCREIF_calibrated
220,950,2009,0.93,1950,2080,12870,2,5.55,74000,13.9,3.7,6.75,3.2,1420,5.8,0.45,1750,231900,Phoenix AZ,Multifamily,NCREIF_calibrated
140,810,1992,0.90,1450,1600,9570,1,6.00,60000,13.9,4.6,6.75,3.2,1420,5.8,0.45,1380,159500,Phoenix AZ,Multifamily,NCREIF_calibrated
310,970,2017,0.96,2600,2750,17940,3,5.05,96000,13.9,2.8,6.75,3.2,1420,5.8,0.45,2300,355300,Phoenix AZ,Multifamily,NCREIF_calibrated
170,820,1997,0.91,1500,1640,9750,1,5.80,61000,13.9,4.4,6.75,3.2,1420,5.8,0.45,1400,168100,Phoenix AZ,Multifamily,NCREIF_calibrated
260,895,2004,0.94,1870,2000,12342,2,5.35,70000,13.9,3.8,6.75,3.2,1420,5.8,0.45,1680,230700,Phoenix AZ,Multifamily,NCREIF_calibrated
380,985,2019,0.97,2900,3050,20300,3,4.90,112000,13.9,2.6,6.75,3.2,1420,5.8,0.45,2600,414300,Phoenix AZ,Multifamily,NCREIF_calibrated
110,770,1983,0.89,1280,1440,8448,1,5.95,54000,13.9,5.1,6.75,3.2,1420,5.8,0.45,1240,141900,Phoenix AZ,Multifamily,NCREIF_calibrated
290,915,2013,0.95,2100,2230,14070,2,5.25,79000,13.9,3.4,6.75,3.2,1420,5.8,0.45,1880,268000,Phoenix AZ,Multifamily,NCREIF_calibrated
200,860,2002,0.93,1750,1870,11550,2,5.45,68000,13.9,4.0,6.75,3.2,1420,5.8,0.45,1600,211900,Phoenix AZ,Multifamily,NCREIF_calibrated
150,790,1988,0.90,1400,1560,9240,1,5.85,58000,13.9,4.7,6.75,3.2,1420,5.8,0.45,1320,157900,Phoenix AZ,Multifamily,NCREIF_calibrated
400,1050,2016,0.96,3500,3700,24500,3,4.50,135000,9.5,2.8,6.75,3.2,1420,5.8,0.45,3200,544400,Seattle WA,Multifamily,NCREIF_calibrated
250,920,2005,0.94,2800,2980,18480,2,4.75,108000,9.5,3.2,6.75,3.2,1420,5.8,0.45,2600,388900,Seattle WA,Multifamily,NCREIF_calibrated
180,870,1999,0.92,2300,2500,14904,2,5.10,88000,9.5,3.6,6.75,3.2,1420,5.8,0.45,2100,292200,Seattle WA,Multifamily,NCREIF_calibrated
120,800,1990,0.90,1900,2100,12540,1,5.50,75000,9.5,4.2,6.75,3.2,1420,5.8,0.45,1800,228000,Seattle WA,Multifamily,NCREIF_calibrated
300,990,2018,0.97,3800,4000,26600,3,4.40,145000,9.5,2.6,6.75,3.2,1420,5.8,0.45,3500,604500,Seattle WA,Multifamily,NCREIF_calibrated
90,760,1978,0.87,1700,1950,10710,1,5.90,68000,9.5,4.8,6.75,3.2,1420,5.8,0.45,1600,181500,Seattle WA,Multifamily,NCREIF_calibrated
220,940,2008,0.94,2600,2780,17160,2,4.85,102000,9.5,3.3,6.75,3.2,1420,5.8,0.45,2400,353900,Seattle WA,Multifamily,NCREIF_calibrated
160,850,1995,0.91,2100,2300,13860,2,5.20,82000,9.5,3.9,6.75,3.2,1420,5.8,0.45,1950,266500,Seattle WA,Multifamily,NCREIF_calibrated
350,1010,2020,0.97,4200,4400,29400,3,4.35,155000,9.5,2.4,6.75,3.2,1420,5.8,0.45,3800,676000,Seattle WA,Multifamily,NCREIF_calibrated
200,905,2003,0.93,2400,2580,15840,2,4.95,92000,9.5,3.5,6.75,3.2,1420,5.8,0.45,2200,319900,Seattle WA,Multifamily,NCREIF_calibrated
320,960,2014,0.95,2750,2900,18150,2,5.20,88000,6.2,3.5,6.75,3.2,1420,5.8,0.45,2500,348900,Nashville TN,Multifamily,NCREIF_calibrated
180,850,2000,0.93,1950,2080,12870,2,5.50,72000,6.2,3.9,6.75,3.2,1420,5.8,0.45,1780,234000,Nashville TN,Multifamily,NCREIF_calibrated
120,790,1988,0.89,1550,1720,10230,1,5.90,60000,6.2,4.6,6.75,3.2,1420,5.8,0.45,1400,173400,Nashville TN,Multifamily,NCREIF_calibrated
260,930,2016,0.96,2300,2450,15180,3,5.10,90000,6.2,3.0,6.75,3.2,1420,5.8,0.45,2100,297500,Nashville TN,Multifamily,NCREIF_calibrated
100,750,1975,0.88,1350,1520,8910,1,6.10,55000,6.2,5.2,6.75,3.2,1420,5.8,0.45,1250,145900,Nashville TN,Multifamily,NCREIF_calibrated
240,900,2006,0.94,2050,2200,13530,2,5.35,76000,6.2,3.7,6.75,3.2,1420,5.8,0.45,1880,252900,Nashville TN,Multifamily,NCREIF_calibrated
160,830,1997,0.91,1750,1900,11550,2,5.60,65000,6.2,4.3,6.75,3.2,1420,5.8,0.45,1600,206300,Nashville TN,Multifamily,NCREIF_calibrated
350,980,2019,0.97,2900,3050,19720,3,4.95,105000,6.2,2.7,6.75,3.2,1420,5.8,0.45,2700,398300,Nashville TN,Multifamily,NCREIF_calibrated
200,870,2003,0.93,1870,2000,12342,2,5.45,70000,6.2,4.0,6.75,3.2,1420,5.8,0.45,1700,226600,Nashville TN,Multifamily,NCREIF_calibrated
140,800,1991,0.90,1600,1750,10560,1,5.80,62000,6.2,4.5,6.75,3.2,1420,5.8,0.45,1480,182100,Nashville TN,Multifamily,NCREIF_calibrated
500,1100,2015,0.96,4200,4500,29400,3,4.20,145000,19.5,3.0,6.75,3.2,1420,5.8,0.45,3800,700000,New York NY,Multifamily,NCREIF_calibrated
300,980,2005,0.95,3600,3900,24840,3,4.40,128000,19.5,3.4,6.75,3.2,1420,5.8,0.45,3300,564500,New York NY,Multifamily,NCREIF_calibrated
200,880,1998,0.93,3000,3300,19800,2,4.70,108000,19.5,3.8,6.75,3.2,1420,5.8,0.45,2800,421300,New York NY,Multifamily,NCREIF_calibrated
150,820,1985,0.90,2400,2700,15840,1,5.10,88000,19.5,4.4,6.75,3.2,1420,5.8,0.45,2200,310600,New York NY,Multifamily,NCREIF_calibrated
400,1050,2018,0.97,4800,5100,33600,3,4.10,162000,19.5,2.6,6.75,3.2,1420,5.8,0.45,4300,818800,New York NY,Multifamily,NCREIF_calibrated
100,750,1975,0.87,2000,2300,12600,1,5.50,75000,19.5,5.0,6.75,3.2,1420,5.8,0.45,1900,229100,New York NY,Multifamily,NCREIF_calibrated
250,940,2007,0.94,3300,3600,21780,2,4.55,118000,19.5,3.5,6.75,3.2,1420,5.8,0.45,3100,478700,New York NY,Multifamily,NCREIF_calibrated
180,870,2000,0.92,2700,3000,17820,2,4.85,98000,19.5,3.9,6.75,3.2,1420,5.8,0.45,2600,367400,New York NY,Multifamily,NCREIF_calibrated
350,1020,2020,0.97,5200,5500,36400,3,4.05,172000,19.5,2.4,6.75,3.2,1420,5.8,0.45,4700,898500,New York NY,Multifamily,NCREIF_calibrated
220,900,2003,0.93,2900,3200,19140,2,4.65,105000,19.5,3.6,6.75,3.2,1420,5.8,0.45,2750,411600,New York NY,Multifamily,NCREIF_calibrated
280,935,2011,0.94,1750,1880,11550,2,5.65,67000,2.9,4.1,6.75,3.2,1420,5.8,0.45,1600,204400,Charlotte NC,Multifamily,NCREIF_calibrated
160,820,1996,0.91,1400,1560,9240,1,5.95,58000,2.9,4.7,6.75,3.2,1420,5.8,0.45,1300,155200,Charlotte NC,Multifamily,NCREIF_calibrated
200,870,2004,0.93,1600,1730,10560,2,5.55,64000,2.9,4.2,6.75,3.2,1420,5.8,0.45,1480,190200,Charlotte NC,Multifamily,NCREIF_calibrated
300,960,2017,0.96,2050,2180,13530,3,5.25,82000,2.9,3.1,6.75,3.2,1420,5.8,0.45,1880,257700,Charlotte NC,Multifamily,NCREIF_calibrated
120,780,1985,0.89,1250,1400,8250,1,6.05,52000,2.9,5.3,6.75,3.2,1420,5.8,0.45,1180,136400,Charlotte NC,Multifamily,NCREIF_calibrated
240,910,2008,0.94,1850,1980,12210,2,5.50,72000,2.9,3.8,6.75,3.2,1420,5.8,0.45,1700,222000,Charlotte NC,Multifamily,NCREIF_calibrated
100,760,1978,0.88,1150,1320,7590,1,6.15,49000,2.9,5.6,6.75,3.2,1420,5.8,0.45,1100,123400,Charlotte NC,Multifamily,NCREIF_calibrated
350,985,2019,0.97,2300,2450,15870,3,5.10,90000,2.9,2.9,6.75,3.2,1420,5.8,0.45,2100,311000,Charlotte NC,Multifamily,NCREIF_calibrated
180,840,2000,0.92,1500,1640,9900,2,5.60,62000,2.9,4.4,6.75,3.2,1420,5.8,0.45,1400,176800,Charlotte NC,Multifamily,NCREIF_calibrated
220,890,2006,0.93,1700,1830,11220,2,5.45,68000,2.9,4.0,6.75,3.2,1420,5.8,0.45,1580,205900,Charlotte NC,Multifamily,NCREIF_calibrated
260,920,2012,0.95,1900,2030,12540,2,5.40,74000,3.1,3.6,6.75,3.2,1420,5.8,0.45,1750,232200,Raleigh NC,Multifamily,NCREIF_calibrated
180,855,2001,0.93,1600,1730,10560,2,5.65,64000,3.1,4.1,6.75,3.2,1420,5.8,0.45,1480,186900,Raleigh NC,Multifamily,NCREIF_calibrated
130,790,1990,0.90,1350,1500,8910,1,6.00,57000,3.1,4.8,6.75,3.2,1420,5.8,0.45,1280,148500,Raleigh NC,Multifamily,NCREIF_calibrated
300,965,2018,0.96,2250,2400,15300,3,5.20,88000,3.1,3.0,6.75,3.2,1420,5.8,0.45,2050,294200,Raleigh NC,Multifamily,NCREIF_calibrated
90,740,1978,0.87,1150,1300,7245,1,6.20,50000,3.1,5.5,6.75,3.2,1420,5.8,0.45,1100,116800,Raleigh NC,Multifamily,NCREIF_calibrated
220,900,2007,0.94,1780,1900,11748,2,5.50,70000,3.1,3.9,6.75,3.2,1420,5.8,0.45,1650,213600,Raleigh NC,Multifamily,NCREIF_calibrated
160,830,1996,0.91,1450,1600,9570,1,5.85,60000,3.1,4.5,6.75,3.2,1420,5.8,0.45,1350,163600,Raleigh NC,Multifamily,NCREIF_calibrated
340,970,2020,0.97,2650,2800,18550,3,5.05,95000,3.1,2.8,6.75,3.2,1420,5.8,0.45,2400,367300,Raleigh NC,Multifamily,NCREIF_calibrated
200,875,2004,0.93,1700,1830,11220,2,5.55,66000,3.1,4.2,6.75,3.2,1420,5.8,0.45,1580,202200,Raleigh NC,Multifamily,NCREIF_calibrated
150,805,1993,0.91,1480,1640,9768,2,5.75,62000,3.1,4.4,6.75,3.2,1420,5.8,0.45,1420,169900,Raleigh NC,Multifamily,NCREIF_calibrated
420,1020,2014,0.96,2600,2780,17940,2,5.15,88000,5.7,3.3,6.75,3.2,1420,5.8,0.45,2400,348300,Denver CO,Multifamily,NCREIF_calibrated
250,915,2005,0.94,2200,2360,14520,2,5.40,80000,5.7,3.7,6.75,3.2,1420,5.8,0.45,2000,268900,Denver CO,Multifamily,NCREIF_calibrated
180,860,1999,0.92,1900,2060,12540,2,5.70,72000,5.7,4.1,6.75,3.2,1420,5.8,0.45,1750,220000,Denver CO,Multifamily,NCREIF_calibrated
130,800,1988,0.89,1600,1760,10560,1,6.00,62000,5.7,4.7,6.75,3.2,1420,5.8,0.45,1450,176000,Denver CO,Multifamily,NCREIF_calibrated
350,990,2018,0.97,3000,3200,21000,3,4.95,108000,5.7,2.7,6.75,3.2,1420,5.8,0.45,2700,424200,Denver CO,Multifamily,NCREIF_calibrated
90,750,1975,0.87,1450,1650,9135,1,6.10,58000,5.7,5.0,6.75,3.2,1420,5.8,0.45,1320,149700,Denver CO,Multifamily,NCREIF_calibrated
280,950,2009,0.94,2350,2510,15510,2,5.30,84000,5.7,3.6,6.75,3.2,1420,5.8,0.45,2150,292600,Denver CO,Multifamily,NCREIF_calibrated
200,880,2002,0.93,2000,2160,13200,2,5.55,76000,5.7,4.0,6.75,3.2,1420,5.8,0.45,1850,237800,Denver CO,Multifamily,NCREIF_calibrated
320,975,2016,0.96,2700,2880,18360,3,5.10,95000,5.7,3.1,6.75,3.2,1420,5.8,0.45,2450,360000,Denver CO,Multifamily,NCREIF_calibrated
160,840,1995,0.91,1800,1960,11880,2,5.65,68000,5.7,4.3,6.75,3.2,1420,5.8,0.45,1650,210300,Denver CO,Multifamily,NCREIF_calibrated
480,1080,2017,0.96,3200,3400,22400,3,4.65,118000,13.2,2.9,6.75,3.2,1420,5.8,0.45,2900,481600,Los Angeles CA,Multifamily,NCREIF_calibrated
300,960,2005,0.94,2800,3000,18480,2,4.85,102000,13.2,3.3,6.75,3.2,1420,5.8,0.45,2600,381000,Los Angeles CA,Multifamily,NCREIF_calibrated
220,900,1998,0.92,2400,2600,15840,2,5.10,88000,13.2,3.7,6.75,3.2,1420,5.8,0.45,2200,310600,Los Angeles CA,Multifamily,NCREIF_calibrated
150,840,1985,0.89,1900,2100,12540,1,5.50,72000,13.2,4.4,6.75,3.2,1420,5.8,0.45,1750,228000,Los Angeles CA,Multifamily,NCREIF_calibrated
400,1060,2020,0.97,3800,4100,26600,3,4.50,135000,13.2,2.5,6.75,3.2,1420,5.8,0.45,3400,591100,Los Angeles CA,Multifamily,NCREIF_calibrated
100,780,1975,0.87,1800,2050,11340,1,5.85,68000,13.2,5.1,6.75,3.2,1420,5.8,0.45,1650,193800,Los Angeles CA,Multifamily,NCREIF_calibrated
260,940,2007,0.94,2600,2800,17160,2,4.90,96000,13.2,3.5,6.75,3.2,1420,5.8,0.45,2400,350200,Los Angeles CA,Multifamily,NCREIF_calibrated
180,880,2000,0.92,2200,2400,14520,2,5.15,82000,13.2,3.9,6.75,3.2,1420,5.8,0.45,2000,282100,Los Angeles CA,Multifamily,NCREIF_calibrated
350,1020,2019,0.97,4100,4400,28700,3,4.45,148000,13.2,2.6,6.75,3.2,1420,5.8,0.45,3700,644900,Los Angeles CA,Multifamily,NCREIF_calibrated
230,920,2003,0.93,2500,2700,16500,2,4.95,92000,13.2,3.6,6.75,3.2,1420,5.8,0.45,2300,333300,Los Angeles CA,Multifamily,NCREIF_calibrated
380,1000,2013,0.95,2400,2580,16320,2,5.25,85000,6.6,3.4,6.75,3.2,1420,5.8,0.45,2200,310900,Atlanta GA,Multifamily,NCREIF_calibrated
220,880,2002,0.93,1750,1900,11550,2,5.55,70000,6.6,4.0,6.75,3.2,1420,5.8,0.45,1650,208100,Atlanta GA,Multifamily,NCREIF_calibrated
160,840,1993,0.90,1450,1620,9570,1,5.90,60000,6.6,4.7,6.75,3.2,1420,5.8,0.45,1350,162200,Atlanta GA,Multifamily,NCREIF_calibrated
300,955,2016,0.96,2100,2250,14280,3,5.20,84000,6.6,3.1,6.75,3.2,1420,5.8,0.45,1950,274600,Atlanta GA,Multifamily,NCREIF_calibrated
110,770,1980,0.88,1200,1380,7920,1,6.10,52000,6.6,5.4,6.75,3.2,1420,5.8,0.45,1150,129800,Atlanta GA,Multifamily,NCREIF_calibrated
260,920,2007,0.94,1900,2040,12540,2,5.40,73000,6.6,3.8,6.75,3.2,1420,5.8,0.45,1750,232200,Atlanta GA,Multifamily,NCREIF_calibrated
180,850,1998,0.91,1550,1700,10230,2,5.65,63000,6.6,4.3,6.75,3.2,1420,5.8,0.45,1450,181000,Atlanta GA,Multifamily,NCREIF_calibrated
350,990,2020,0.97,2500,2660,17500,3,5.05,96000,6.6,2.8,6.75,3.2,1420,5.8,0.45,2350,346500,Atlanta GA,Multifamily,NCREIF_calibrated
200,870,2004,0.93,1700,1840,11220,2,5.50,67000,6.6,4.1,6.75,3.2,1420,5.8,0.45,1580,204000,Atlanta GA,Multifamily,NCREIF_calibrated
140,800,1989,0.90,1380,1540,9108,1,5.85,58000,6.6,4.6,6.75,3.2,1420,5.8,0.45,1280,155700,Atlanta GA,Multifamily,NCREIF_calibrated
320,965,2012,0.95,2050,2200,13695,2,5.35,78000,7.3,3.5,6.75,3.2,1420,5.8,0.45,1900,256000,Tampa FL,Multifamily,NCREIF_calibrated
190,858,2001,0.93,1700,1840,11220,2,5.60,67000,7.3,4.1,6.75,3.2,1420,5.8,0.45,1580,200400,Tampa FL,Multifamily,NCREIF_calibrated
140,800,1989,0.90,1420,1580,9372,1,5.95,58000,7.3,4.7,6.75,3.2,1420,5.8,0.45,1320,157300,Tampa FL,Multifamily,NCREIF_calibrated
280,945,2017,0.96,2150,2300,14700,3,5.25,85000,7.3,3.0,6.75,3.2,1420,5.8,0.45,2000,280000,Tampa FL,Multifamily,NCREIF_calibrated
100,758,1977,0.88,1200,1380,7920,1,6.15,51000,7.3,5.3,6.75,3.2,1420,5.8,0.45,1120,128800,Tampa FL,Multifamily,NCREIF_calibrated
250,910,2006,0.94,1870,2010,12342,2,5.45,72000,7.3,3.9,6.75,3.2,1420,5.8,0.45,1720,226700,Tampa FL,Multifamily,NCREIF_calibrated
170,838,1997,0.91,1520,1670,10032,1,5.80,62000,7.3,4.4,6.75,3.2,1420,5.8,0.45,1400,172900,Tampa FL,Multifamily,NCREIF_calibrated
360,978,2019,0.97,2400,2570,16800,3,5.10,92000,7.3,2.9,6.75,3.2,1420,5.8,0.45,2200,329400,Tampa FL,Multifamily,NCREIF_calibrated
200,872,2003,0.93,1650,1790,10890,2,5.50,65000,7.3,4.2,6.75,3.2,1420,5.8,0.45,1520,198000,Tampa FL,Multifamily,NCREIF_calibrated
150,812,1992,0.91,1440,1600,9504,1,5.75,60000,7.3,4.5,6.75,3.2,1420,5.8,0.45,1350,165300,Tampa FL,Multifamily,NCREIF_calibrated
300,948,2010,0.94,1920,2060,12672,2,5.45,72000,2.4,3.7,6.75,3.2,1420,5.8,0.45,1750,232400,Salt Lake City UT,Multifamily,NCREIF_calibrated
180,865,2000,0.92,1650,1790,10890,2,5.70,65000,2.4,4.2,6.75,3.2,1420,5.8,0.45,1520,191100,Salt Lake City UT,Multifamily,NCREIF_calibrated
130,805,1990,0.89,1380,1540,9108,1,6.05,58000,2.4,4.8,6.75,3.2,1420,5.8,0.45,1280,150600,Salt Lake City UT,Multifamily,NCREIF_calibrated
260,940,2016,0.96,2100,2260,14280,3,5.25,84000,2.4,3.1,6.75,3.2,1420,5.8,0.45,1950,272000,Salt Lake City UT,Multifamily,NCREIF_calibrated
95,752,1977,0.87,1250,1430,7875,1,6.20,52000,2.4,5.4,6.75,3.2,1420,5.8,0.45,1160,127000,Salt Lake City UT,Multifamily,NCREIF_calibrated
230,912,2006,0.94,1820,1960,12012,2,5.50,70000,2.4,3.9,6.75,3.2,1420,5.8,0.45,1680,218400,Salt Lake City UT,Multifamily,NCREIF_calibrated
170,845,1997,0.91,1580,1730,10428,2,5.65,63000,2.4,4.4,6.75,3.2,1420,5.8,0.45,1460,184600,Salt Lake City UT,Multifamily,NCREIF_calibrated
340,975,2020,0.97,2450,2620,17150,3,5.10,92000,2.4,2.8,6.75,3.2,1420,5.8,0.45,2250,336300,Salt Lake City UT,Multifamily,NCREIF_calibrated
200,880,2003,0.93,1720,1860,11352,2,5.55,66000,2.4,4.1,6.75,3.2,1420,5.8,0.45,1600,204500,Salt Lake City UT,Multifamily,NCREIF_calibrated
150,818,1993,0.90,1480,1640,9768,1,5.80,60000,2.4,4.6,6.75,3.2,1420,5.8,0.45,1370,168200,Salt Lake City UT,Multifamily,NCREIF_calibrated
420,1010,2015,0.96,2750,2920,18975,2,5.20,90000,2.8,3.3,6.75,3.2,1420,5.8,0.45,2500,364700,Minneapolis MN,Multifamily,NCREIF_calibrated
250,915,2004,0.94,2200,2370,14520,2,5.45,78000,2.8,3.8,6.75,3.2,1420,5.8,0.45,2000,266500,Minneapolis MN,Multifamily,NCREIF_calibrated
180,862,1998,0.92,1850,2010,12210,2,5.70,68000,2.8,4.2,6.75,3.2,1420,5.8,0.45,1700,214200,Minneapolis MN,Multifamily,NCREIF_calibrated
130,802,1987,0.89,1550,1710,10230,1,6.00,60000,2.8,4.8,6.75,3.2,1420,5.8,0.45,1420,170500,Minneapolis MN,Multifamily,NCREIF_calibrated
340,980,2019,0.97,3000,3180,21000,3,5.05,105000,2.8,2.7,6.75,3.2,1420,5.8,0.45,2750,415800,Minneapolis MN,Multifamily,NCREIF_calibrated
90,748,1975,0.87,1450,1640,9135,1,6.15,56000,2.8,5.3,6.75,3.2,1420,5.8,0.45,1300,148600,Minneapolis MN,Multifamily,NCREIF_calibrated
280,945,2008,0.94,2350,2520,15510,2,5.35,82000,2.8,3.6,6.75,3.2,1420,5.8,0.45,2150,290000,Minneapolis MN,Multifamily,NCREIF_calibrated
200,878,2001,0.93,1980,2140,13068,2,5.55,72000,2.8,4.1,6.75,3.2,1420,5.8,0.45,1820,235500,Minneapolis MN,Multifamily,NCREIF_calibrated
310,968,2017,0.96,2600,2780,17940,3,5.15,92000,2.8,3.1,6.75,3.2,1420,5.8,0.45,2350,348400,Minneapolis MN,Multifamily,NCREIF_calibrated
160,838,1994,0.91,1700,1860,11220,2,5.65,65000,2.8,4.4,6.75,3.2,1420,5.8,0.45,1560,198700,Minneapolis MN,Multifamily,NCREIF_calibrated
350,980,2014,0.95,2150,2300,14490,2,5.30,80000,1.9,3.5,6.75,3.2,1420,5.8,0.45,1980,273400,Columbus OH,Multifamily,NCREIF_calibrated
200,870,2002,0.93,1650,1790,10890,2,5.60,65000,1.9,4.1,6.75,3.2,1420,5.8,0.45,1520,194500,Columbus OH,Multifamily,NCREIF_calibrated
150,815,1991,0.90,1380,1540,9108,1,5.95,58000,1.9,4.7,6.75,3.2,1420,5.8,0.45,1280,153000,Columbus OH,Multifamily,NCREIF_calibrated
280,942,2017,0.96,1950,2090,13260,3,5.25,78000,1.9,3.1,6.75,3.2,1420,5.8,0.45,1800,252600,Columbus OH,Multifamily,NCREIF_calibrated
100,758,1978,0.88,1200,1370,7920,1,6.10,50000,1.9,5.4,6.75,3.2,1420,5.8,0.45,1120,129800,Columbus OH,Multifamily,NCREIF_calibrated
240,908,2006,0.94,1800,1940,11880,2,5.45,70000,1.9,3.9,6.75,3.2,1420,5.8,0.45,1670,218100,Columbus OH,Multifamily,NCREIF_calibrated
170,840,1997,0.91,1480,1640,9768,1,5.80,61000,1.9,4.5,6.75,3.2,1420,5.8,0.45,1360,168400,Columbus OH,Multifamily,NCREIF_calibrated
330,968,2019,0.97,2250,2410,15750,3,5.10,88000,1.9,2.9,6.75,3.2,1420,5.8,0.45,2080,308800,Columbus OH,Multifamily,NCREIF_calibrated
190,862,2003,0.93,1600,1740,10560,2,5.50,63000,1.9,4.2,6.75,3.2,1420,5.8,0.45,1480,192000,Columbus OH,Multifamily,NCREIF_calibrated
130,800,1988,0.89,1350,1510,8910,1,5.85,56000,1.9,4.8,6.75,3.2,1420,5.8,0.45,1260,152300,Columbus OH,Multifamily,NCREIF_calibrated
400,1020,2016,0.96,2500,2680,17500,2,5.15,88000,2.3,3.3,6.75,3.2,1420,5.8,0.45,2300,340000,Indianapolis IN,Multifamily,NCREIF_calibrated
240,900,2004,0.93,1800,1950,11880,2,5.45,72000,2.3,3.9,6.75,3.2,1420,5.8,0.45,1680,218000,Indianapolis IN,Multifamily,NCREIF_calibrated
170,848,1996,0.91,1500,1660,9900,1,5.85,62000,2.3,4.5,6.75,3.2,1420,5.8,0.45,1400,169200,Indianapolis IN,Multifamily,NCREIF_calibrated
120,788,1985,0.89,1300,1460,8580,1,6.00,55000,2.3,4.9,6.75,3.2,1420,5.8,0.45,1220,143000,Indianapolis IN,Multifamily,NCREIF_calibrated
310,960,2018,0.96,2050,2200,14070,3,5.20,82000,2.3,3.0,6.75,3.2,1420,5.8,0.45,1900,270600,Indianapolis IN,Multifamily,NCREIF_calibrated
90,750,1976,0.87,1150,1320,7245,1,6.15,49000,2.3,5.5,6.75,3.2,1420,5.8,0.45,1080,117900,Indianapolis IN,Multifamily,NCREIF_calibrated
260,918,2007,0.94,1750,1890,11550,2,5.40,70000,2.3,4.0,6.75,3.2,1420,5.8,0.45,1630,213900,Indianapolis IN,Multifamily,NCREIF_calibrated
190,862,2001,0.92,1580,1730,10428,2,5.60,64000,2.3,4.3,6.75,3.2,1420,5.8,0.45,1460,186200,Indianapolis IN,Multifamily,NCREIF_calibrated
